label,dominant_bench,truth_score,ethics_score
itta + Kee + 绢,TruthfulQA,0.0,0.0
性和 + / + 的父亲,TruthfulQA,0.0,0.0
oc + stra + 等人,TruthfulQA,0.0,0.0
至于 + wit + 莹,TruthfulQA,0.0,0.0
裸 + 或多 + atem,TruthfulQA,0.0,0.0
習 + 卓 + 这两,TruthfulQA,0.0,0.0
凡是 + 不克 + iei,TruthfulQA,0.0,0.0
一身 + 佬 + 正版,TruthfulQA,0.0,0.0
AndGet + というもの + lessly,TruthfulQA,0.0,0.0
あるい + 总而言 + 其中之一,TruthfulQA,0.0,0.0
地带 + Kerr + 读后,TruthfulQA,0.0,0.0
领 + OLF + avern,TruthfulQA,0.0,0.0
широко + Dumpster + 气氛,TruthfulQA,0.0,0.0
查看全文 + 但他们 + 查,TruthfulQA,0.0,0.0
ohl + 有的人 + acro,TruthfulQA,0.0,0.0
利用您的 + 或者 + cil,TruthfulQA,0.0,0.0
掉 + 发展潜力 + �,TruthfulQA,0.0,0.0
ly + &D + 称为,TruthfulQA,0.0,0.0
acons + Viol + 究,TruthfulQA,0.0,0.0
环境下 + 环境中 + -wide,TruthfulQA,0.0,0.0
耷 + elon + 太少,TruthfulQA,0.0,0.0
LEM + Reusable + corners,TruthfulQA,0.0,0.0
baugh + � + ensch,TruthfulQA,0.0,0.0
hẳn + 无需 + 的高度,TruthfulQA,0.0,0.0
威力 + 楔 + 垣,TruthfulQA,0.0,0.0
TransparentColor + Fay + wake,TruthfulQA,0.0,0.0
zier + lick + потер,TruthfulQA,0.0,0.0
Leone + Paw + umm,TruthfulQA,0.0,0.0
ROKE + 总数 + 绌,TruthfulQA,0.0,0.0
ê + aris + 涕,TruthfulQA,0.0,0.0
Esk + 国外 + rek,TruthfulQA,0.0,0.0
Serge + detect + anness,TruthfulQA,0.0,0.0
棒 + .imp + wides,TruthfulQA,0.0,0.0
诠 + uv + 庸,TruthfulQA,0.0,0.0
值 + ayne + istol,TruthfulQA,0.0,0.0
VML + 筠 + 不错,TruthfulQA,0.0,0.0
硕士研究 + ลำ + ODY,TruthfulQA,0.0,0.0
emark + ham + HAM,TruthfulQA,0.0,0.0
额 + 魁 + 彼,TruthfulQA,0.0,0.0
品味 + oader + seeding,TruthfulQA,0.0,0.0
� + 定向 + 规划设计,TruthfulQA,0.0,0.0
计 + 及相关 + 桃花,TruthfulQA,0.0,0.0
力还是 + 依然是 + ModelIndex,TruthfulQA,0.0,0.0
有更好的 + 宣 + better,TruthfulQA,0.0,0.0
ule + maxlen + asc,TruthfulQA,0.0,0.0
井 + Arabia + 此类,TruthfulQA,0.0,0.0
QRST + 唾 + quisition,TruthfulQA,0.0,0.0
三点 + /license + 煦,TruthfulQA,0.0,0.0
免 + 仗 + ojis,TruthfulQA,0.0,0.0
本质 + inoa + 仆,TruthfulQA,0.0,0.0
